T1		T2		T3		T4		T5		T6		T7		T8	
282.4	Computer	82.9	Building Blocks	199.2	Building Blocks	116.3	Building Blocks	116.5	Building Blocks	498.1	Building Blocks	232.4	Building Blocks	630.6	Building Blocks
763	Building Blocks	730.2	Building Blocks	597.4	Building Blocks	265.5	Building Blocks	962.5	Building Blocks	99.5	Building Area	630.4	Building Blocks	580.9	Building Blocks
99.5	Building Area	199.4	Building Blocks	249	Building Area	165.6	Building Area	116	Building Area	182.9	Building Blocks	83	Building Area	199.3	Building Area
331.9	Building Area	597.4	Building Blocks	464.6	Building Area	166	Building Blocks	116.1	Building Blocks	116.3	Building Blocks	83	Building Blocks	249.2	Building Blocks
149.3	Building Blocks	481.3	Building Area	132.8	Building Blocks	531.1	Building Blocks	382	Building Blocks	514.4	Building Area	199	Building Blocks	448.4	Building Blocks
365	Building Blocks	99.6	Building Area	298.7	Building Blocks	348.5	Building Area	547.8	Building Area	99.5	Building Blocks	182.6	Building Area	165.9	Building Area
99.6	Building Area	199.3	Building Blocks	481.4	Building Area	315.2	Building Blocks	215.7	Building Blocks	232.5	Building Blocks	282	Building Area	116.3	Building Area
315.3	Building Area	315.4	Building Area	116.2	Building Blocks	348.5	Building Area	398.3	Building Area	182.4	Building Area	99.5	Building Blocks	331.9	Building Blocks
315.3	Building Area	99.4	Building Area	83	Building Blocks	83	Building Blocks	431.4	Building Blocks	331.7	Building Area	232.2	Building Area	315.4	Building Area
132.8	Building Blocks	215.5	Building Blocks	282.2	Building Area	215.7	Building Blocks	133	Building Area	133	Building Blocks	149.4	Building Area	116.3	Building Area
132.7	Building Blocks	116	Building Blocks	166	Building Area	331.8	Building Area	647.3	Building Area	282.1	Building Area	232.4	Building Area	99.6	Building Blocks
381.8	Building Area	82.9	Building Blocks	116.2	Building Blocks	248.9	Building Blocks	663.9	Building Area	265.6	Building Area	282.3	Building Area	215.7	Building Blocks
132.7	Building Area	1493.7	Building Area	265.5	Building Blocks	116.1	Building Area	199.4	Building Area	298.8	Building Blocks	265.1	Building Blocks	248.9	Building Blocks
82.9	Computer	564.2	Building Area	614	Building Area	448.1	Building Area	846.3	Building Area	99.4	Building Area	481.2	Building Area	83	Building Blocks
116.1	Computer	149.3	Building Area	1028.9	Building Area	929.4	Building Area	199.1	Building Area	896.3	Building Area	166	Building Blocks	132.9	Building Area
232.3	Computer	398.3	Building Area	597.4	Building Area	447.9	Building Area	514.4	Building Area	763.2	Building Area	132.9	Building Area	166	Building Area
464.6	Building Area	315.4	Building Area	929.3	Building Area	298.6	Building Area	1178.4	Building Area	1161.5	Building Area	149.4	Building Area	547.4	Building Area
232.3	Building Area	415	Building Area	265.6	Building Blocks	166	Building Area	215.7	Building Blocks	249.1	Building Area	398.3	Building Blocks	215.9	Building Area
