T1		T2		T3		T4		T5		T6		T7		T8	
99.5	Building Blocks	149.6	Building Blocks	83.6	Building Blocks	83.2	Computer	281.9	Building Blocks	66.6	Computer	149.5	Building Blocks	116.1	Building Blocks
165.7	Building Blocks	514.2	Building Blocks	116.3	Building Blocks	83	Building Blocks	182.5	Building Blocks	647.1	Building Blocks	348.7	Building Blocks	945.7	Building Blocks
215.2	Building Blocks	697	Building Blocks	116.2	Building Blocks	630.5	Building Blocks	531.3	Building Blocks	198.8	Building Blocks	531	Building Blocks	116.1	Building Blocks
82.6	Building Blocks	282.2	Building Blocks	448.4	Building Blocks	215.6	Building Area	613.5	Building Blocks	481.6	Building Blocks	182.7	Building Blocks	365.2	Building Area
597.3	Building Blocks	348.5	Building Area	315.4	Building Blocks	99.6	Building Blocks	282.5	Building Area	149.2	Building Blocks	99.5	Building Blocks	547.5	Building Blocks
232.4	Building Blocks	116	Building Blocks	332.1	Building Blocks	99.2	Building Blocks	116.1	Building Blocks	216.2	Building Area	464.5	Building Area	315.3	Building Area
149.4	Building Blocks	99.5	Building Blocks	481.2	Building Area	265	Building Area	99.6	Building Blocks	149	Building Area	298.9	Building Area	448.1	Building Area
398.2	Building Area	398.1	Building Blocks	166	Building Area	99.5	Building Area	315.8	Building Blocks	149.6	Building Blocks	99.6	Building Area	116.2	Building Area
149.2	Building Blocks	149.1	Building Blocks	149.3	Building Blocks	99.4	Building Blocks	315.7	Building Area	133.2	Building Blocks	149.5	Building Blocks	315.3	Building Area
199.3	Building Blocks	99.3	Building Area	82.7	Building Blocks	447.9	Building Blocks	199.4	Building Blocks	431.1	Building Blocks	182.3	Building Blocks	365.1	Building Area
597.7	Building Blocks	83	Building Area	414.5	Building Blocks	265.1	Building Area	465	Building Blocks	298.7	Building Blocks	481.5	Building Blocks	182.6	Building Area
248.9	Building Blocks	149.4	Building Blocks	133.4	Building Blocks	381.7	Building Area	83	Building Blocks	282.1	Building Area	365	Building Area	82.9	Building Blocks
165.9	Building Blocks	365.1	Building Blocks	165.9	Building Blocks	315.3	Building Blocks	166.4	Building Area	132.9	Building Blocks	431.7	Building Blocks	99.1	Building Blocks
381.7	Building Blocks	232.3	Building Area	564.4	Building Blocks	199.1	Building Blocks	331.9	Building Area	249.3	Building Blocks	364.9	Building Blocks	132.7	Building Blocks
132.7	Building Blocks	83	Building Area	249.2	Building Area	132.9	Building Blocks	198.9	Building Blocks	99.5	Building Area	99.8	Building Area	133	Building Blocks
231.9	Building Area	132.7	Building Blocks	331.5	Building Area	232.6	Building Blocks	647.2	Building Blocks	364.8	Building Area	149.6	Building Area	82.9	Building Blocks
265.2	Building Area	796.9	Building Blocks	298.4	Building Area	99.8	Building Blocks	265.4	Building Blocks	116.1	Building Blocks	414.6	Building Area	498	Building Blocks
99.3	Building Blocks	1012.7	Building Area	249.1	Building Area	381.6	Building Blocks	116.4	Building Area	83.4	Building Blocks	132.7	Building Area	249	Building Area
299.1	Building Blocks	680.7	Building Area	83	Building Blocks	497.9	Building Blocks	248.6	Building Area	66.5	Building Blocks	116.4	Building Blocks	165.9	Building Area
215.5	Building Blocks	331.9	Building Area	680.2	Building Blocks	730.3	Building Blocks	331.9	Building Area	199.1	Building Area	132.7	Building Blocks	215.7	Building Blocks
365.5	Building Area	1891.7	Building Area	165.8	Building Area	149.4	Building Area	165.9	Building Area	249.1	Building Area	349	Building Blocks	398.4	Building Blocks
182.7	Building Area	331.8	Building Area	514.4	Building Area	116	Building Area	116.1	Building Area	331.4	Building Area	166	Building Blocks	149.4	Building Blocks
149.6	Building Blocks	282.4	Building Area	630.7	Building Area	116.4	Building Area	265.3	Building Area	1676.4	Building Area	82.9	Building Blocks	116.2	Building Area
216.2	Building Blocks	115.8	Building Area	480.9	Building Area	464.8	Building Area	1592.8	Building Area	314.9	Building Area	133	Building Blocks	481.4	Building Area
846.5	Building Blocks	1559.8	Building Area	381.7	Building Area	348.5	Building Area	133.3	Building Area	249.3	Building Area	99.3	Building Blocks	165.7	Building Area
132.6	Building Area	132.6	Building Area	232.6	Building Area	199.2	Building Blocks	182.7	Building Area	812.9	Building Area	431.8	Building Area	166.2	Building Area
182.5	Building Area	182.6	Building Area	231.9	Building Area	813.5	Building Blocks	995.5	Building Area	132.6	Building Area	149.2	Building Area	165.8	Building Area
232.6	Building Area	381.3	Building Area	1079	Building Area	564.4	Building Area	248.8	Building Area	132.8	Building Area	266.2	Building Area	149.3	Building Area
415.2	Building Area	265.7	Building Area	232.3	Building Area	979.1	Building Area	133.2	Building Area	531.2	Building Area	846.4	Building Area	132.8	Building Blocks
1079.1	Building Area	149.5	Building Area	116	Building Area	812.9	Building Area	82.7	Building Area	132.9	Building Area	1510.1	Building Area	730	Building Blocks
896.4	Building Area	132.5	Building Area	249.1	Building Area	945.9	Building Area	680.7	Building Area	265.3	Building Area	282.1	Building Area	199.2	Building Blocks
215.9	Building Area	182.4	Building Blocks	182.6	Building Area	133.3	Building Area	498	Building Area	66.5	Building Blocks	132.9	Building Area	182.6	Building Blocks
1659.4	Building Area	165.6	Building Blocks	365.2	Building Area	132.4	Building Area	182.1	Building Blocks	149.5	Building Blocks	149.3	Building Area	381.7	Building Blocks
215.9	Building Area	962.1	Building Blocks	115.9	Building Area	166.2	Building Area	133.1	Building Blocks	647.3	Building Blocks	929.4	Building Area	464.6	Building Blocks
99.7	Building Area	165.9	Building Area	198.8	Building Area	298.5	Building Area	66.7	Building Blocks	149.3	Building Area	232.2	Building Area	165.9	Building Area
199.1	Building Area	99.6	Building Area	99.9	Building Area	315.5	Building Area	331.7	Building Area	82.6	Building Area	199.3	Building Area	547.9	Building Area
498.2	Building Area	182.6	Building Area	82.5	Building Blocks	348.3	Building Area	132.8	Building Area	166.4	Building Area	149.3	Building Area	165.9	Building Area
398.6	Building Area	597.6	Building Area	66.3	Building Blocks	99.9	Building Area	133.1	Building Blocks	265.9	Building Area	116.3	Building Area	680.4	Building Area
248.9	Building Area	580.4	Building Area	813.2	Building Blocks	199.2	Building Area	99.6	Building Blocks	132.9	Building Area	730.3	Building Area	133.2	Building Blocks
248.6	Building Area	166	Building Area	431.3	Building Area	149.8	Building Area	1095.5	Building Blocks	149.4	Building Area	248.9	Building Area	132.8	Building Blocks
265.5	Building Area	630.5	Building Area	282	Building Area	115.7	Building Area	282.4	Building Blocks	99.6	Building Area	232.1	Building Area	132.4	Building Area
182.9	Building Blocks	215.8	Building Area	132.8	Building Area	564.2	Building Area	149.3	Building Blocks	365.2	Building Area	166.1	Building Blocks	846.3	Building Area
198.5	Building Blocks	149.2	Building Area	431.4	Building Area	182.3	Building Area	315.3	Building Blocks	663.8	Building Area	83.1	Building Blocks	165.9	Building Area
580.6	Building Blocks	663.8	Building Area	348.2	Building Area	99.4	Building Area	166	Building Area	66.4	Building Area	149.4	Building Blocks	132.7	Building Area
232.8	Building Area	597.3	Building Area	132.9	Building Area	199.3	Building Area	215.7	Building Area	99.9	Building Area	116.5	Building Blocks	414.9	Building Area
166	Building Area	166.1	Building Area	82.9	Building Area	99.5	Building Blocks	398.4	Building Area	630.5	Building Area	381.8	Building Blocks	149.4	Building Area
132.9	Building Area	415	Building Area	199.6	Building Area	315.5	Building Blocks	99.6	Building Area	182.2	Building Area	165.8	Building Area	1178.4	Building Blocks
265.3	Building Area	82.7	Building Area	381.9	Building Area	414.9	Building Blocks	365.3	Building Area	398.2	Building Area	232.7	Building Area	215.5	Building Area
99.8	Building Area	132.8	Computer	215.2	Building Blocks	165.7	Building Blocks	149.4	Building Area	265.8	Building Area	199.2	Building Area	149.4	Building Area
315.1	Building Area	348	Building Blocks	116.2	Building Blocks	149.6	Building Area	431.5	Building Area	116.2	Building Area	199.1	Building Area	116.3	Building Area
216.4	Building Area	182.2	Building Blocks	149.7	Building Area	282.5	Building Area	248.4	Building Area	149.5	Building Area	116.2	Building Area	863	Building Area
149.4	Building Area	248.9	Building Blocks	182.5	Building Blocks	182.8	Building Area	82.8	Building Area	166.1	Building Blocks	232.4	Building Area	165.9	Building Area
232.7	Building Area	232.1	Building Blocks	82.8	Building Blocks	133	Building Area	1427.2	Building Area	166	Building Blocks	514.6	Building Area	99.6	Building Area
149.5	Building Area	165.7	Building Blocks	82.9	Building Blocks	299.1	Building Area	231.9	Building Area	99.5	Building Blocks	215.7	Building Area	547.7	Building Area
498.1	Building Area	66.7	Building Blocks	183	Building Blocks	415.1	Building Area	199	Building Area	215.6	Building Blocks	530.6	Building Area	249	Building Area
448.7	Building Area	265.4	Building Blocks	929.3	Building Blocks	82.6	Building Area	248.6	Building Area	166	Building Blocks	265.5	Building Area	116.2	Building Area
182.6	Building Area	365	Building Blocks	215.5	Building Blocks	116.1	Building Area	182.6	Building Blocks	281.8	Building Blocks	249.1	Building Blocks	199.1	Building Area
83	Building Area	232.2	Building Area	149.4	Building Blocks	1460.7	Building Area	199.1	Building Blocks	249.4	Building Blocks	597.7	Building Blocks	249	Building Blocks
132.7	Building Area	348.4	Building Area	331.5	Building Blocks	132.8	Building Area	82.9	Building Blocks	149.7	Building Blocks	83.1	Building Blocks	83	Building Blocks
99.1	Building Area	265.5	Building Blocks	166	Building Blocks	133.1	Building Area	166.4	Building Blocks	580.9	Building Blocks	182.6	Building Blocks	99.6	Building Blocks
265.6	Building Blocks	166.3	Building Blocks	83	Building Area	182.5	Building Area	99.8	Building Blocks	282.1	Building Blocks	199.3	Building Blocks	149.5	Building Blocks
431.6	Building Blocks	431.3	Building Blocks	116.3	Building Area	132.8	Building Area	83	Building Blocks	165.5	Building Area	83.1	Building Blocks	116.3	Building Blocks
166.1	Building Blocks	614.3	Building Blocks	514.5	Building Blocks	182.7	Building Area	481.3	Building Blocks	133.3	Building Blocks	730.2	Building Blocks	348.5	Building Blocks
99.5	Building Blocks	115.9	Building Blocks	149.7	Building Area	132.3	Building Area	182.4	Building Blocks	216.3	Building Blocks	182.3	Building Blocks	149.3	Building Blocks
116.4	Building Blocks	281.8	Building Area	348.1	Building Area	182.9	Building Area	696.8	Building Blocks	132.9	Building Blocks	282.2	Building Blocks	149.1	Building Blocks
597.3	Building Blocks	99.5	Building Blocks	647.4	Building Area	182.6	Building Area	83	Building Blocks	315.3	Building Area	116.6	Building Blocks	696.7	Building Blocks
182.8	Building Blocks	365.1	Building Blocks	315.3	Building Area	564.4	Building Area	182.9	Building Area	115.9	Building Area	298.3	Building Area	182.8	Building Blocks
99.5	Building Blocks	182.5	Building Area	747.3	Building Area	115.9	Computer	132.8	Building Blocks	133	Building Blocks	282.3	Building Area	464.3	Building Blocks
315	Building Blocks	763.6	Building Area	613.8	Building Blocks	99.3	Computer	215.7	Building Blocks	415.1	Building Blocks	299.3	Building Blocks	166	Building Blocks
