T1		T2		T3		T4		T5		T6		T7		T8	
149.4	Computer	182.8	Building Blocks	116.1	Computer	248.5	Building Blocks	82.8	Building Blocks	199	Building Blocks	149.5	Building Blocks	199	Computer
730.1	Computer	99.6	Building Blocks	82.9	Building Blocks	132.8	Building Area	995.9	Building Blocks	149.5	Building Blocks	83.5	Building Blocks	166.2	Computer
365.1	Computer	83.3	Building Blocks	133.2	Building Blocks	182.7	Building Area	83	Building Area	232.2	Building Blocks	249.1	Building Blocks	199.3	Computer
281.7	Building Blocks	116	Building Blocks	99.1	Building Blocks	298.9	Building Area	182.5	Building Blocks	99.7	Building Blocks	216	Building Blocks	779.8	Computer
183.2	Building Blocks	862.7	Building Blocks	149.4	Building Blocks	82.8	Building Area	298.6	Building Blocks	547.6	Building Blocks	348.4	Building Blocks	198.9	Computer
149.6	Building Blocks	83.2	Building Blocks	215.7	Building Blocks	1261.1	Building Area	498.3	Building Blocks	248.5	Building Area	116	Building Blocks	248.7	Computer
481.6	Building Blocks	149.5	Building Area	282.1	Building Blocks	132.8	Building Blocks	448	Building Area	99.8	Building Area	249.1	Building Blocks	315.3	Computer
116	Building Area	747.3	Building Area	414.7	Building Area	746.6	Building Blocks	332.3	Building Area	215.7	Building Blocks	265.4	Building Blocks	182.5	Computer
597.2	Building Area	99.1	Building Area	365	Building Area	282.2	Building Blocks	448.4	Building Area	249.1	Building Blocks	116.3	Building Area	83	Building Blocks
116.5	Computer	148.9	Building Area	133	Building Blocks	132.4	Building Area	99.1	Building Area	166.1	Building Blocks	99.4	Building Area	199.1	Building Blocks
266	Building Area	83.4	Computer	232	Building Blocks	182.5	Building Area	66.8	Building Blocks	165.6	Building Blocks	166	Building Blocks	215.7	Building Blocks
83.1	Building Area	265.9	Computer	216	Building Blocks	116	Building Area	331.9	Building Blocks	182.5	Building Blocks	564.4	Building Blocks	182.8	Building Blocks
265.5	Building Area	182.7	Building Blocks	198.6	Building Blocks	182.3	Building Area	680.5	Building Blocks	249.1	Building Blocks	265.7	Building Area	431.6	Building Blocks
149.4	Building Area	215.5	Building Blocks	99.5	Building Blocks	580.9	Building Area	332.2	Building Blocks	182.5	Building Blocks	182.7	Building Area	82.6	Building Area
282.1	Building Area	215.6	Building Blocks	448.7	Building Blocks	182.6	Building Area	166.2	Building Area	331.7	Building Blocks	215.6	Building Area	465.2	Building Area
530.8	Building Area	99.5	Building Blocks	116.2	Building Blocks	348.2	Building Area	2621.6	Building Area	481.3	Building Blocks	99.6	Building Blocks	99.7	Building Area
282.3	Computer	183	Building Blocks	182.4	Computer	348.7	Building Area	315.3	Building Area	282.4	Building Area	132.6	Building Blocks	432	Building Blocks
199.1	Computer	83.4	Building Blocks	166.2	Computer	1045.4	Building Area	215.7	Building Area	298.6	Building Area	116.2	Building Blocks	381.7	Building Blocks
183.1	Computer	215.7	Building Blocks	597.1	Computer	282.1	Building Area	1228.1	Building Area	414.7	Building Area	166.3	Building Blocks	248.8	Building Area
132.8	Computer	115.8	Building Blocks	215.8	Building Blocks	116	Building Area	2008.1	Building Area	199.4	Building Area	199.1	Building Blocks	199.5	Building Area
298.8	Computer	165.5	Building Blocks	149.1	Building Blocks	348.5	Building Blocks	364.8	Building Area	148.9	Building Area	215.5	Building Blocks	149.3	Building Blocks
232.3	Computer	282	Building Blocks	182.5	Building Blocks	365.2	Building Blocks	680.2	Building Area	265.4	Computer	564.2	Building Blocks	165.8	Building Blocks
248.5	Computer	199.1	Computer	895.9	Building Blocks	149.8	Building Blocks	298.6	Building Area	82.9	Computer	298.8	Building Area	365.2	Building Blocks
100	Building Blocks	232.2	Building Blocks	845.8	Computer	165.8	Building Blocks	697.1	Building Area	232.4	Computer	1626.2	Building Area	182.6	Building Area
299	Building Blocks	132.4	Building Blocks	83.2	Computer	166.2	Building Blocks	996.1	Building Area	498.3	Computer	216	Building Area	115.9	Building Blocks
82.6	Building Blocks	680.2	Building Blocks	198.8	Building Blocks	116.4	Building Blocks	199.2	Building Area	331.7	Computer	281.5	Building Area	381.7	Building Blocks
282.1	Building Blocks	265.7	Building Area	331.5	Building Blocks	1144.9	Building Area	697.2	Building Blocks	182.4	Computer	2074.4	Building Area	83	Building Area
1045.3	Computer	82.9	Building Area	282.1	Building Area	1012.2	Building Area	132.8	Computer	116.2	Computer	398.3	Building Area	182.4	Building Area
165.6	Building Area	82.8	Building Area	249	Building Area	465	Building Area	83.2	Computer	149.4	Computer	149.2	Building Area	962.3	Building Area
564.2	Building Area	82.9	Building Area	116.3	Building Area	315	Building Area	132.7	Computer	282.1	Computer	862.6	Building Area	497.8	Building Area
182.9	Building Area	83	Building Area	165.7	Building Area	199.1	Building Area	115.9	Building Area	149.5	Computer	199.4	Building Area	1078.8	Building Area
895.7	Building Area	66.8	Building Area	315.1	Building Area	232.3	Building Blocks	132.3	Building Blocks	165.8	Computer	165.5	Building Area	1211.6	Building Area
82.8	Building Area	182.6	Building Area	149.5	Building Area	514.8	Building Blocks	215.6	Building Blocks	83.2	Building Blocks	115.7	Building Blocks	115.8	Building Blocks
846.4	Building Area	182.2	Building Area	232	Building Blocks	398.6	Building Area	199.1	Building Blocks	182.5	Building Blocks	116.1	Building Blocks	332.3	Building Blocks
431.5	Building Area	232.3	Building Area	132.7	Building Blocks	547.8	Building Area	99.5	Building Blocks	215.5	Building Blocks	199.2	Building Blocks	99.9	Building Area
1128.5	Building Area	547.4	Building Area	281.8	Building Blocks	829.5	Building Area	165.9	Building Blocks	99.4	Building Area	879.7	Building Blocks	563.9	Building Area
199.1	Computer	880	Building Area	182.3	Building Blocks	182.4	Building Blocks	99.5	Building Blocks	248.8	Building Area	149.4	Building Blocks	298.9	Building Area
