T1		T2		T3		T4		T5		T6		T7		T8	
99.3	Computer	215.4	Building Blocks	116.1	Computer	132.9	Building Blocks	132.7	Computer	464.6	Building Blocks	149.3	Building Blocks	249.1	Building Blocks
215.3	Computer	299.1	Building Blocks	165.9	Building Blocks	116.3	Building Blocks	132.7	Building Blocks	298.4	Building Area	182.5	Building Blocks	99.3	Computer
99.2	Building Blocks	149.2	Building Blocks	132.8	Building Blocks	166	Building Blocks	299.3	Building Blocks	249.1	Building Area	82.5	Building Blocks	149.1	Computer
199.3	Building Blocks	100.1	Building Blocks	199	Building Blocks	99.6	Building Blocks	165.9	Building Blocks	265.9	Computer	149	Building Blocks	381.9	Building Area
198.7	Building Blocks	166	Building Area	99.5	Building Blocks	132.7	Computer	116.3	Building Blocks	381.5	Building Blocks	166.1	Computer	99.6	Computer
149.6	Computer	382.1	Building Area	132.7	Computer	99.6	Computer	99.5	Building Blocks	282.1	Building Area	99.4	Building Area	232.3	Computer
248.7	Building Area	198.7	Building Area	166.2	Building Area	215.7	Building Area	364.7	Building Area	498.3	Building Area	82.6	Building Area	265.1	Computer
282.1	Building Area	730.2	Building Area	115.8	Building Area	332	Building Area	149.5	Computer	481	Building Area	83	Building Blocks	249	Building Blocks
248.9	Building Area	166.3	Computer	99.9	Computer	99.7	Computer	116.4	Computer	282.1	Building Area	199.3	Building Blocks	99.7	Building Blocks
315.2	Computer	99.3	Computer	331.9	Computer	216.2	Computer	348.6	Computer	116.2	Building Area	232.7	Building Blocks	348.1	Building Area
116.4	Computer	265.6	Computer	166.3	Building Blocks	116.2	Building Blocks	465	Building Blocks	846.4	Building Area	82.5	Computer	498	Building Area
480.5	Computer	99.6	Computer	365.2	Building Blocks	82.6	Computer	199.3	Computer	381.5	Computer	132.2	Computer	99.7	Building Area
215.2	Computer	99.6	Building Blocks	149.5	Building Area	248.7	Computer	181.9	Building Area	448.5	Building Blocks	149	Computer	232.4	Building Area
149.5	Building Blocks	149.3	Building Blocks	166.1	Building Area	149.2	Building Blocks	730.4	Building Area	198.9	Computer	315.4	Computer	149.1	Building Blocks
298.5	Building Blocks	414.9	Building Blocks	215.6	Building Area	249.3	Building Blocks	265.5	Building Area	115.9	Building Blocks	348	Building Area	780	Building Blocks
150	Building Area	83.2	Building Blocks	348.5	Building Area	116.4	Building Area	83.5	Building Area	132.6	Building Blocks	99.1	Building Area	99.6	Building Area
99.5	Building Area	431.6	Building Area	99.8	Computer	597.1	Building Area	198.7	Building Area	99.6	Building Area	364.9	Building Area	697	Building Area
364.9	Building Area	431.2	Building Area	332.2	Computer	116.1	Building Area	564.4	Building Area	398	Building Area	99.9	Building Area	132.8	Building Area
348.4	Building Area	115.8	Computer	133	Computer	166	Building Area	83.1	Building Area	514.7	Building Area	116	Building Area	1444.2	Building Area
99.5	Building Area	116.5	Computer	299	Computer	99.9	Computer	99.7	Computer	414.9	Building Area	1062	Building Blocks	315.1	Building Area
365.2	Building Area	265.1	Computer	381.9	Building Blocks	133	Computer	133	Computer	1144.7	Building Area	132.6	Computer	1476.8	Building Area
100.1	Building Area	83	Computer	282.3	Building Blocks	348.7	Computer	331.8	Computer	1410.8	Building Area	249	Computer	215.1	Building Area
199	Building Area	132.5	Building Blocks	165.3	Building Blocks	182.4	Building Blocks	663.5	Building Blocks	1145.3	Building Area	348.4	Computer	249.2	Building Area
265.7	Computer	465.3	Building Blocks	132.1	Building Area	531	Building Blocks	215.7	Building Blocks	663.8	Building Area	132.3	Building Area	564.3	Building Area
514.6	Computer	133	Building Area	182.7	Building Area	83.3	Building Area	99.4	Building Area	248.4	Computer	99.5	Building Area	332	Building Area
149.4	Computer	149.2	Building Area	148.9	Building Area	99.6	Building Area	165.9	Building Area	298.7	Computer	680	Building Area	199	Computer
99.4	Building Blocks	232.3	Building Area	995.8	Building Area	978.7	Building Area	630.7	Building Area	116.2	Computer	1510.2	Building Area	663.4	Computer
82.8	Building Blocks	182.2	Building Area	165.7	Building Area	1194.3	Building Area	697.2	Building Area	149.5	Building Blocks	182.7	Building Area	149.5	Computer
132.7	Building Blocks	149	Computer	1178.7	Building Area	946.1	Building Area	630.5	Building Area	431.8	Building Blocks	298.5	Building Area	282	Computer
99.6	Building Blocks	116.2	Computer	298.7	Building Area	149.3	Building Area	664.2	Building Area	215.9	Building Blocks	763.4	Building Area	99.8	Computer
414.8	Computer	431.5	Building Area	348.3	Building Area	945.8	Building Area	265.3	Building Area	281.9	Building Blocks	248.9	Building Area	166	Building Blocks
