T1		T2		T3		T4		T5		T6		T7		T8	
315.3	Computer	115.8	Building Blocks	115.9	Building Blocks	99.6	Building Blocks	165.7	Computer	199.6	Computer	182	Building Blocks	66.7	Computer
564.2	Computer	165.7	Building Blocks	265.6	Computer	149.1	Building Blocks	83.3	Computer	99.3	Building Blocks	116.1	Building Blocks	66.3	Building Blocks
232.8	Computer	132.5	Building Blocks	232.5	Computer	198.9	Building Blocks	99.2	Building Blocks	149.7	Building Blocks	116.2	Building Blocks	132.3	Building Blocks
149.5	Computer	199.4	Building Blocks	182.7	Building Blocks	315.2	Building Blocks	99.3	Building Blocks	132.7	Building Blocks	464.9	Building Blocks	531.3	Building Blocks
116.2	Computer	265.5	Building Blocks	182.4	Building Blocks	182.5	Building Blocks	83	Building Blocks	581	Building Blocks	248.8	Building Blocks	248.8	Building Blocks
99	Building Blocks	132.7	Building Blocks	265.8	Building Blocks	149.4	Building Blocks	149.4	Building Blocks	265.6	Building Blocks	132.7	Building Blocks	248.7	Building Area
116.4	Building Blocks	132.6	Building Area	199.4	Building Blocks	99.3	Building Blocks	215.8	Building Blocks	165.7	Building Blocks	182.5	Building Blocks	481	Building Area
332	Building Blocks	165.8	Building Area	132.5	Computer	365.4	Computer	182.9	Building Blocks	232.3	Building Blocks	232.3	Building Blocks	132.8	Computer
149.7	Computer	415.1	Building Area	132.8	Computer	465.1	Building Area	133	Building Blocks	431.3	Building Blocks	431.5	Building Blocks	116.2	Computer
66.3	Computer	99.1	Computer	248.9	Building Area	182.2	Building Area	165.9	Building Blocks	464.7	Building Area	99.7	Building Blocks	99.6	Computer
132.3	Computer	149.7	Computer	215.8	Building Area	182.6	Building Area	116.2	Building Blocks	99.5	Computer	713.7	Building Area	282.1	Computer
149.4	Building Blocks	132.6	Computer	497.7	Building Area	83	Computer	232.1	Building Blocks	99.4	Computer	99.5	Computer	182.6	Building Blocks
282.1	Building Blocks	232.7	Computer	99.2	Computer	331.9	Computer	116.5	Building Blocks	248.9	Computer	365	Computer	83.1	Building Blocks
647.4	Building Blocks	265.9	Computer	398.3	Computer	149.3	Computer	149.5	Building Blocks	448.3	Computer	116.4	Computer	248.5	Building Blocks
149.8	Building Area	199.3	Computer	497.8	Computer	149.4	Computer	265.2	Computer	99.4	Building Blocks	99.6	Computer	879.8	Building Blocks
265.2	Building Area	182.5	Building Blocks	199.5	Building Blocks	116.2	Building Blocks	182.6	Building Area	332	Building Blocks	116.2	Building Blocks	862.7	Building Blocks
398.1	Building Area	116.4	Building Blocks	298.7	Building Blocks	182.6	Building Blocks	116.1	Computer	99.3	Building Blocks	149.6	Building Blocks	116.3	Building Area
232.5	Building Area	83.4	Building Blocks	215.4	Computer	132.8	Building Blocks	165.9	Computer	99.5	Building Blocks	464.5	Building Blocks	995.3	Building Area
149.9	Building Area	182.2	Building Blocks	100	Computer	763.8	Building Blocks	298.7	Computer	365.3	Computer	282.3	Building Blocks	1244.8	Building Area
149.5	Computer	133	Computer	132.7	Building Blocks	182.2	Building Blocks	464.8	Computer	116.2	Building Blocks	464.7	Building Blocks	1443.9	Building Area
149.5	Computer	83.2	Building Blocks	149.2	Building Blocks	99.6	Building Blocks	116.4	Building Blocks	99.7	Building Blocks	149.7	Computer	713.6	Building Blocks
398.5	Building Area	215.6	Building Blocks	315.4	Building Blocks	697.3	Building Blocks	182.6	Building Blocks	165.9	Building Blocks	481.2	Building Area	1958.3	Building Blocks
99.8	Computer	82.7	Computer	99.9	Computer	431.4	Building Blocks	415.1	Building Blocks	298.6	Building Blocks	100.1	Building Area	613.8	Computer
365.3	Computer	182	Computer	365.1	Computer	83	Computer	232	Building Blocks	182.5	Building Blocks	580.9	Building Area	182.9	Building Area
282.2	Computer	481.5	Building Area	215.3	Building Area	199.1	Computer	248.7	Building Blocks	166	Building Blocks	315.3	Building Area	166	Building Area
248.6	Computer	298.5	Building Area	265.8	Building Area	481.7	Building Area	99.5	Computer	83	Building Blocks	448.2	Building Area	232.3	Computer
232.2	Computer	713.7	Building Area	547.3	Building Area	232.3	Computer	83.4	Computer	232.3	Building Blocks	431.8	Building Area	232	Building Area
448.7	Computer	165.7	Building Area	597.7	Building Area	199.2	Building Area	182.7	Computer	298.7	Computer	132.9	Computer	232.4	Building Area
448.2	Computer	348.8	Building Area	116	Building Area	116.4	Building Area	83	Computer	116.5	Computer	116.7	Computer	348.8	Building Area
166	Computer	83.1	Computer	1161.6	Building Area	115.7	Computer	133	Building Area	248.9	Building Area	132.6	Computer	215.9	Building Area
132.9	Building Blocks	116	Computer	215.7	Building Area	215.3	Computer	696.7	Building Area	249	Building Area	132.8	Computer	1676.4	Building Area
198.6	Building Blocks	198.9	Computer	133	Computer	232	Building Area	1759.2	Building Area	149.7	Building Area	315.3	Building Blocks	398.4	Building Area
199.4	Building Blocks	448.5	Computer	100	Computer	116.6	Building Area	132.8	Computer	182.4	Building Area	116	Building Blocks	2506.3	Building Area
